Type;FSWP-8;
Version;1.71;
Date;01.Apr 2020;
VSupply;OFF;
Mode;Voltage;
Voltage Set;0.0000000000;V
Voltage Min;0.0000000000;V
Voltage Max;16.0000000000;V
Voltage Meas;0.0160000000;V
Current Max;2000.0000000000;mA
Current Meas;0.2926829268;mA
VTune;OFF;
Voltage Set;0.0000000000;V
Voltage Min;-10.0000000000;V
Voltage Max;28.0000000000;V
Voltage Meas;-0.0147692308;V
Current Max;20.0000000000;mA
Current Meas;0.0353565115;mA
VAux;OFF;
Voltage Set;0.0000000000;V
Voltage Min;-10.0000000000;V
Voltage Max;10.0000000000;V
Voltage Meas;-0.0066979236;V
Current Max;100.0000000000;mA
Current Meas;-0.1200480192;mA
Mode;Phase Noise;
Measurement;Phase Noise;
Input;RF;
RF Att;0.0000000000;dB
Coupling;AC;
RBW;10.0000000000;%
XCORR Factor;100;
XCORR Optimize;ON;
Estimated Meas Time;1716.8333330403;s
Sweep Count;0;
Signal Frequency;10000000.1742530987;Hz
Signal Level;6.4119000000;dBm
Start;0.1000000000;Hz
Stop;1000000.0000000000;Hz
SubSweep;1;
Start;0.1000000000;Hz
Stop;0.3000000000;Hz
RBW;0.0300000000;Hz
XCORR Count;100;
SubSweep;2;
Start;0.3000000000;Hz
Stop;1.0000000000;Hz
RBW;0.0300000000;Hz
XCORR Count;100;
SubSweep;3;
Start;1.0000000000;Hz
Stop;3.0000000000;Hz
RBW;0.1000000000;Hz
XCORR Count;340;
SubSweep;4;
Start;3.0000000000;Hz
Stop;10.0000000000;Hz
RBW;0.3000000000;Hz
XCORR Count;1000;
SubSweep;5;
Start;10.0000000000;Hz
Stop;30.0000000000;Hz
RBW;1.0000000000;Hz
XCORR Count;3400;
SubSweep;6;
Start;30.0000000000;Hz
Stop;100.0000000000;Hz
RBW;3.0000000000;Hz
XCORR Count;10000;
SubSweep;7;
Start;100.0000000000;Hz
Stop;300.0000000000;Hz
RBW;10.0000000000;Hz
XCORR Count;34000;
SubSweep;8;
Start;300.0000000000;Hz
Stop;1000.0000000000;Hz
RBW;30.0000000000;Hz
XCORR Count;100000;
SubSweep;9;
Start;1000.0000000000;Hz
Stop;3000.0000000000;Hz
RBW;100.0000000000;Hz
XCORR Count;340000;
SubSweep;10;
Start;3000.0000000000;Hz
Stop;10000.0000000000;Hz
RBW;300.0000000000;Hz
XCORR Count;1000000;
SubSweep;11;
Start;10000.0000000000;Hz
Stop;30000.0000000000;Hz
RBW;1000.0000000000;Hz
XCORR Count;3400000;
SubSweep;12;
Start;30000.0000000000;Hz
Stop;100000.0000000000;Hz
RBW;3000.0000000000;Hz
XCORR Count;10000000;
SubSweep;13;
Start;100000.0000000000;Hz
Stop;300000.0000000000;Hz
RBW;10000.0000000000;Hz
XCORR Count;10000000;
SubSweep;14;
Start;300000.0000000000;Hz
Stop;1000000.0000000000;Hz
RBW;30000.0000000000;Hz
XCORR Count;10000000;
Integrated Measurements Range;1;
Start;0.1000000000;Hz
Stop;1000000.0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;2;
Start;0.1000000000;Hz
Stop;1000000.0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;3;
Start;0.1000000000;Hz
Stop;1000000.0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;4;
Start;0.1000000000;Hz
Stop;1000000.0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;5;
Start;0.1000000000;Hz
Stop;1000000.0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;6;
Start;0.1000000000;Hz
Stop;1000000.0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;7;
Start;0.1000000000;Hz
Stop;1000000.0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;8;
Start;0.1000000000;Hz
Stop;1000000.0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;9;
Start;0.1000000000;Hz
Stop;1000000.0000000000;Hz
Weighting;OFF;
Integrated Measurements Range;10;
Start;0.1000000000;Hz
Stop;1000000.0000000000;Hz
Weighting;OFF;
Spot Noise Decade Edges;ON;
Spot Noise User Defined;OFF;
Spot Noise User Defined Offset;1;
State;ON;
Offset;1000.0000000000;Hz
Spot Noise User Defined Offset;2;
State;ON;
Offset;10000.0000000000;Hz
Spot Noise User Defined Offset;3;
State;ON;
Offset;100000.0000000000;Hz
Spot Noise User Defined Offset;4;
State;ON;
Offset;1000000.0000000000;Hz
Spot Noise User Defined Offset;5;
State;ON;
Offset;10000000.0000000000;Hz
Spot Noise User Defined Offset;6;
State;ON;
Offset;100000000.0000000000;Hz
Window;1;Noise Spectrum Sphi(f);
Trace;1;
Trace Mode;CLR/WRITE;
Trace Result;PN;
Smoothing;ON;
Smoothing Value;1.0000000000;%
Spurious Removal;ON;
Spurious Removal Threshold;6.0000000000;dB
Trace Offset;OFF;
Trace Offset;0.0000000000;dB
Trace Label;OFF;
Trace Label;Trace 1;
x-Unit;Hz;
y-Unit;dB/Hz;
Values;1401;
0.1000000015;-75.8117294312;
0.1011579409;-75.9208602905;
0.1023292989;-76.0391769409;
0.1035142168;-76.1575012207;
0.1047128513;-76.2758178711;
0.1059253663;-76.3941421509;
0.1071519256;-76.5169525146;
0.1083927006;-76.6399154663;
0.1096478254;-76.7628707886;
0.1109174863;-76.8858337402;
0.1122018471;-77.0107345581;
0.1135010868;-77.1363677979;
0.1148153618;-77.2619934082;
0.1161448583;-77.3876190186;
0.1174897552;-77.5249938965;
0.1188502163;-77.6676788330;
0.1202264354;-77.8103561401;
0.1216185912;-77.9530334473;
0.1230268702;-78.1271209717;
0.1244514659;-78.3076934814;
0.1258925498;-78.4882659912;
0.1273503155;-78.6749725342;
0.1288249642;-78.9020614624;
0.1303166747;-79.1291503906;
0.1318256706;-79.3562393188;
0.1333521456;-79.5987625122;
0.1348962933;-79.8521652222;
0.1364583075;-80.1055603027;
0.1380384266;-80.3543701172;
0.1396368295;-80.5821990967;
0.1412537396;-80.8100204468;
0.1428893805;-81.0378570557;
0.1445439905;-81.1952896118;
0.1462177187;-81.3450317383;
0.1479108483;-81.4947967529;
0.1496235728;-81.5861053467;
0.1513561308;-81.6571807861;
0.1531087458;-81.7282562256;
0.1548816562;-81.7828369141;
0.1566751003;-81.8301849365;
0.1584893167;-81.8775253296;
0.1603245288;-81.9524459839;
0.1621810049;-82.0365371704;
0.1640589684;-82.1206359863;
0.1659587026;-82.2661285400;
0.1678804159;-82.4182815552;
0.1698243767;-82.5800781250;
0.1717908382;-82.7989807129;
0.1737800837;-83.0178756714;
0.1757923663;-83.2560653687;
0.1778279394;-83.5158538818;
0.1798870862;-83.7756347656;
0.1819700748;-84.0380706787;
0.1840771884;-84.3008804321;
0.1862087101;-84.5536804199;
0.1883648932;-84.7887649536;
0.1905460656;-85.0238494873;
0.1927525103;-85.2279739380;
0.1949844658;-85.4291992188;
0.1972422749;-85.6209259033;
0.1995262355;-85.8043746948;
0.2018366456;-85.9876174927;
0.2041737884;-86.1700515747;
0.2065380216;-86.3524932861;
0.2089296132;-86.5324783325;
0.2113488913;-86.7123489380;
0.2137961984;-86.8732757568;
0.2162718475;-87.0282821655;
0.2187761515;-87.1501007080;
0.2213094831;-87.2513961792;
0.2238721251;-87.3192138672;
0.2264644355;-87.3566894531;
0.2290867716;-87.3756027222;
0.2317394763;-87.3759765625;
0.2344228774;-87.3822784424;
0.2371373773;-87.3964538574;
0.2398832887;-87.4458007812;
0.2426609993;-87.5261154175;
0.2454708815;-87.6649551392;
0.2483132929;-87.8392333984;
0.2511886358;-88.0787734985;
0.2540972531;-88.3395004272;
0.2570396066;-88.6386566162;
0.2600159645;-88.9375686646;
0.2630268037;-89.2152862549;
0.2660725117;-89.4675369263;
0.2691534758;-89.6782684326;
0.2722701430;-89.8574752808;
0.2754228711;-90.0204696655;
0.2786121070;-90.1982116699;
0.2818382978;-90.3986053467;
0.2851018012;-90.6464843750;
0.2884031236;-90.9499588013;
0.2917426825;-91.2817230225;
0.2951209545;-91.6483993530;
0.2985382676;-91.9985809326;
0.3019951880;-92.3345413208;
0.3054921329;-92.5848464966;
0.3090295494;-92.5848464966;
0.3126079440;-92.5848464966;
0.3162277639;-92.5848464966;
0.3198895156;-92.5848464966;
0.3235936463;-92.5848464966;
0.3273406923;-92.5848464966;
0.3311311305;-92.5848464966;
0.3349654377;-92.5767211914;
0.3388441503;-92.5049819946;
0.3427677751;-92.5049819946;
0.3467368484;-92.5049819946;
0.3507518768;-92.5049819946;
0.3548133969;-92.5049819946;
0.3589219451;-92.5049819946;
0.3630780578;-92.5049819946;
0.3672823012;-92.5049819946;
0.3715352118;-92.8773422241;
0.3758373857;-93.2664947510;
0.3801894188;-93.5918655396;
0.3845917881;-93.8203125000;
0.3890451491;-93.9479293823;
0.3935500681;-93.9946289062;
0.3981071711;-94.0018844604;
0.4027170241;-94.0209960938;
0.4073802829;-94.1104965210;
0.4120975137;-94.2861633301;
0.4168694019;-94.5406417847;
0.4216965139;-94.8458404541;
0.4265795052;-95.1618652344;
0.4315190613;-95.4572372437;
0.4365158081;-95.7287597656;
0.4415704608;-96.0024566650;
0.4466835856;-96.3080139160;
0.4518559575;-96.6465301514;
0.4570881724;-96.6640167236;
0.4623810053;-96.7757492065;
0.4677351415;-96.8768157959;
0.4731512666;-96.9788436890;
0.4786300957;-97.0049743652;
0.4841723740;-97.1437835693;
0.4897788167;-97.1929626465;
0.4954501688;-97.2336425781;
0.5011872053;-97.3583068848;
0.5069907308;-97.3621063232;
0.5128613710;-97.3712158203;
0.5188000202;-97.4449920654;
0.5248074532;-97.4478073120;
0.5308844447;-97.4485855103;
0.5370317698;-97.5092239380;
0.5432503223;-97.7635269165;
0.5495408773;-98.0943222046;
0.5559042692;-98.2974319458;
0.5623413324;-98.4833602905;
0.5688529015;-98.6870040894;
0.5754399300;-99.0979614258;
0.5821031928;-99.5120086670;
0.5888436437;-99.5793533325;
0.5956621766;-99.5918273926;
0.6025595665;-99.7292251587;
0.6095368862;-99.8115615845;
0.6165950298;-99.8116683960;
0.6237348318;-100.2958755493;
0.6309573650;-100.8413619995;
0.6382635236;-101.0069961548;
0.6456542611;-101.0357589722;
0.6531305313;-101.2780075073;
0.6606934667;-101.3312377930;
0.6683439016;-101.6007690430;
0.6760829687;-101.6031494141;
0.6839116216;-101.7851715088;
0.6918309927;-101.9412155151;
0.6998419762;-101.9490051270;
0.7079457641;-102.1929626465;
0.7161434293;-102.1929626465;
0.7244359851;-102.2199325562;
0.7328245044;-102.2306518555;
0.7413102388;-102.2338180542;
0.7498942018;-102.2458648682;
0.7585775852;-102.2893829346;
0.7673614621;-102.3032302856;
0.7762471437;-102.4190826416;
0.7852356434;-102.4190826416;
0.7943282127;-102.6648712158;
0.8035261035;-103.3236694336;
0.8128305078;-103.3236694336;
0.8222426772;-103.3236694336;
0.8317638040;-103.5379486084;
0.8413951397;-103.5590057373;
0.8511380553;-103.6218338013;
0.8609937429;-103.6935501099;
0.8709635735;-103.7279586792;
0.8810488582;-103.8471221924;
0.8912509084;-103.8471221924;
0.9015711546;-103.8471221924;
0.9120108485;-104.5608596802;
0.9225714207;-104.7546997070;
0.9332543015;-104.7671890259;
0.9440608621;-105.4632034302;
0.9549925923;-105.9912185669;
0.9660508633;-106.0997695923;
0.9772372246;-106.1064987183;
0.9885531068;-106.2354736328;
1.0000000000;-106.3968200684;
1.0115795135;-106.5829162598;
1.0232930183;-106.6363067627;
1.0351421833;-106.6986160278;
1.0471285582;-106.7784729004;
1.0592536926;-106.7784729004;
1.0715192556;-106.9513320923;
1.0839269161;-107.1101226807;
1.0964782238;-107.2285919189;
1.1091748476;-107.3275833130;
1.1220184565;-107.4113845825;
1.1350108385;-107.4922409058;
1.1481536627;-107.5753097534;
1.1614485979;-107.6647796631;
1.1748975515;-107.7597732544;
1.1885021925;-107.8583374023;
1.2022644281;-107.9644088745;
1.2161860466;-108.0773162842;
1.2302688360;-108.1961441040;
1.2445145845;-108.3284835815;
1.2589254379;-108.4707260132;
1.2735030651;-108.6225585938;
1.2882494926;-108.7928085327;
1.3031667471;-108.9851074219;
1.3182567358;-109.1966247559;
1.3335214853;-109.4323348999;
1.3489629030;-109.6749496460;
1.3645831347;-109.9001007080;
1.3803843260;-110.1000289917;
1.3963683844;-110.2598266602;
1.4125375748;-110.3995132446;
1.4288939238;-110.5305099487;
1.4454398155;-110.6467514038;
1.4621771574;-110.7334442139;
1.4791084528;-110.7541351318;
1.4962356091;-110.7556610107;
1.5135612488;-110.7814331055;
1.5310875177;-110.8672256470;
1.5488165617;-111.0321502686;
1.5667510033;-111.2556152344;
1.5848932266;-111.4705734253;
1.6032453775;-111.6520309448;
1.6218100786;-111.8108444214;
1.6405898333;-111.9686050415;
1.6595869064;-112.1377563477;
1.6788040400;-112.3097610474;
1.6982436180;-112.4729385376;
1.7179083824;-112.6764221191;
1.7378008366;-113.1136016846;
1.7579236031;-114.3088150024;
1.7782794237;-114.7025604248;
1.7988709211;-114.7093429565;
1.8197008371;-114.8411788940;
1.8407719135;-114.8843688965;
1.8620871305;-114.8843688965;
1.8836491108;-114.8843688965;
1.9054607153;-114.8843688965;
1.9275249243;-114.8843688965;
1.9498445988;-114.8411788940;
1.9724227190;-114.8411788940;
1.9952623844;-114.8411788940;
2.0183663368;-114.8411788940;
2.0417380333;-114.8411788940;
2.0653800964;-114.8411788940;
2.0892961025;-114.8411788940;
2.1134889126;-114.8568344116;
2.1379621029;-114.8843688965;
2.1627185345;-115.1557998657;
2.1877615452;-115.3684158325;
2.2130947113;-115.5049514771;
2.2387211323;-115.6372451782;
2.2646441460;-115.8024215698;
2.2908678055;-115.9775238037;
2.3173947334;-116.0412902832;
2.3442287445;-116.0688095093;
2.3713736534;-116.1035461426;
2.3988327980;-116.2804641724;
2.4266099930;-116.5424652100;
2.4547088146;-116.6102600098;
2.4831330776;-116.6237335205;
2.5118863583;-116.6359558105;
2.5409727097;-116.7652587891;
2.5703957081;-116.9419403076;
2.6001594067;-117.2913055420;
2.6302678585;-117.7041549683;
2.6607251167;-118.0821304321;
2.6915347576;-118.2906799316;
2.7227013111;-118.3312683105;
2.7542285919;-118.4338836670;
2.7861211300;-118.4715652466;
2.8183827400;-118.5800781250;
2.8510184288;-118.6939926147;
2.8840315342;-118.7620391846;
2.9174270630;-118.8432159424;
2.9512093067;-119.3082504272;
2.9853825569;-119.6346359253;
3.0199515820;-119.7509765625;
3.0549211502;-119.8036651611;
3.0902955532;-119.9653701782;
3.1260793209;-120.1254653931;
3.1622776985;-120.2913360596;
3.1988949776;-120.4670562744;
3.2359364033;-120.6514434814;
3.2734067440;-120.8363952637;
3.3113110065;-120.9191131592;
3.3496541977;-120.9191131592;
3.3884413242;-120.9191131592;
3.4276781082;-120.9191131592;
3.4673686028;-121.0073547363;
3.5075187683;-121.1143188477;
3.5481340885;-121.1380081177;
3.5892193317;-121.1482086182;
3.6307804585;-121.2461700439;
3.6728229523;-121.2545471191;
3.7153522968;-121.3020401001;
3.7583739758;-121.3116531372;
3.8018937111;-121.4527359009;
3.8459177017;-121.7377548218;
3.8904511929;-121.9765930176;
3.9355010986;-122.1794967651;
3.9810719490;-122.3546295166;
4.0271706581;-122.5025863647;
4.0738029480;-122.6232070923;
4.1209754944;-122.7198791504;
4.1686940193;-122.7993698120;
4.2169651985;-122.9060440063;
4.2657952309;-123.0222015381;
4.3151907921;-123.1144409180;
4.3651580811;-123.2165069580;
4.4157042503;-123.3211975098;
4.4668354988;-123.4195785522;
4.5185589790;-123.5369873047;
4.5708823204;-123.6191253662;
4.6238102913;-123.6583251953;
4.6773514748;-123.7018661499;
4.7315125465;-123.8146057129;
4.7863011360;-123.9967269897;
4.8417239189;-124.1575927734;
4.8977880478;-124.4169082642;
4.9545016289;-124.6672134399;
5.0118722916;-124.8184890747;
5.0699067116;-124.9613571167;
5.1286134720;-125.0226898193;
5.1880002022;-125.2191925049;
5.2480750084;-125.5115966797;
5.3088445663;-125.5568389893;
5.3703184128;-125.5824127197;
5.4325037003;-126.0818176270;
5.4954090118;-126.6857452393;
5.5590424538;-126.7586593628;
5.6234130859;-127.1461791992;
5.6885290146;-127.2772979736;
5.7543992996;-127.3892822266;
5.8210320473;-127.6531524658;
5.8884363174;-127.6962585449;
5.9566211700;-127.7960815430;
6.0255956650;-127.9345703125;
6.0953693390;-128.2371826172;
6.1659502983;-128.2999572754;
6.2373485565;-128.2999572754;
6.3095736504;-128.2999572754;
6.3826351166;-128.2999572754;
6.4565424919;-128.2999572754;
6.5313053131;-128.2999572754;
6.6069345474;-128.2999572754;
6.6834387779;-128.2999572754;
6.7608294487;-127.9139785767;
6.8391160965;-127.6847534180;
6.9183092117;-127.5563659668;
6.9984202385;-127.3813476562;
7.0794582367;-127.1457748413;
7.1614346504;-126.7428894043;
7.2443599701;-126.0632629395;
7.3282456398;-125.9252243042;
7.4131026268;-125.9252243042;
7.4989418983;-125.9252243042;
7.5857758522;-125.9252243042;
7.6736145020;-125.9252243042;
7.7624707222;-125.9252243042;
7.8523559570;-125.9252243042;
7.9432821274;-125.9252243042;
8.0352611542;-126.2025527954;
8.1283054352;-126.7056884766;
8.2224273682;-127.5790710449;
8.3176383972;-128.4625244141;
8.4139518738;-128.9528961182;
8.5113801956;-129.1257171631;
8.6099376678;-129.2367401123;
8.7096357346;-129.2367401123;
8.8104887009;-129.2367401123;
8.9125089645;-129.2367401123;
9.0157108307;-129.2367401123;
9.1201076508;-129.2367401123;
9.2257137299;-129.2494506836;
9.3325433731;-129.3601074219;
9.4406089783;-129.3964691162;
9.5499258041;-129.7168884277;
9.6605091095;-129.7661132812;
9.7723722458;-129.8128814697;
9.8855314255;-129.8245391846;
10.0000000000;-129.8433532715;
10.1157941818;-129.9199829102;
10.2329292297;-130.2576293945;
10.3514213562;-130.6872406006;
10.4712848663;-131.0481109619;
10.5925369263;-131.3441925049;
10.7151927948;-131.5903167725;
10.8392686844;-131.7906494141;
10.9647808075;-131.9796600342;
11.0917472839;-132.1791076660;
11.2201833725;-132.3931579590;
11.3501071930;-132.6251373291;
11.4815349579;-132.8540496826;
11.6144876480;-133.0528259277;
11.7489767075;-133.2057342529;
11.8850231171;-133.3007049561;
12.0226459503;-133.3255920410;
12.1618614197;-133.3285369873;
12.3026885986;-133.3305816650;
12.4451465607;-133.3319549561;
12.5892543793;-133.3433227539;
12.7350311279;-133.3662719727;
12.8824958801;-133.3901519775;
13.0316677094;-133.4158477783;
13.1825675964;-133.4565734863;
13.3352146149;-133.5280456543;
13.4896287918;-133.6425323486;
13.6458311081;-133.8049316406;
13.8038425446;-134.0098724365;
13.9636831284;-134.2398071289;
14.1253747940;-134.4677886963;
14.2889385223;-134.6685180664;
14.4543962479;-134.7822418213;
14.6217708588;-134.7822418213;
14.7910823822;-134.7822418213;
14.9623546600;-134.7822418213;
15.1356105804;-134.7822418213;
15.3108730316;-134.8346862793;
15.4881677628;-134.9817047119;
15.6675128937;-135.0876464844;
15.8489332199;-135.0927276611;
16.0324554443;-135.1429290771;
16.2181015015;-135.2351531982;
16.4058990479;-135.2867279053;
16.5958709717;-135.2867279053;
16.7880401611;-135.4821777344;
16.9824371338;-135.5341949463;
17.1790847778;-135.5619049072;
17.3780078888;-135.6200408936;
17.5792369843;-135.6200408936;
17.7827949524;-135.6200408936;
17.9887084961;-135.6200408936;
18.1970081329;-135.6618041992;
18.4077186584;-135.6851806641;
18.6208705902;-135.7273559570;
18.8364906311;-135.8218994141;
19.0546054840;-136.0381927490;
19.2752475739;-136.0945892334;
19.4984436035;-136.1304016113;
19.7242259979;-136.2044982910;
19.9526214600;-136.6466522217;
20.1836605072;-136.6649780273;
20.4173774719;-136.7948760986;
20.6538047791;-136.7974243164;
20.8929634094;-136.8578338623;
21.1348934174;-136.8997955322;
21.3796234131;-136.9160156250;
21.6271877289;-136.9615325928;
21.8776187897;-136.9782562256;
22.1309490204;-136.9833068848;
22.3872127533;-136.9842987061;
22.6464443207;-137.0284729004;
22.9086780548;-137.0472412109;
23.1739463806;-137.2126770020;
23.4422893524;-137.7415313721;
23.7137374878;-138.2442016602;
23.9883289337;-138.5387268066;
24.2660999298;-138.6399383545;
24.5470886230;-138.6741638184;
24.8313293457;-138.8208923340;
25.1188621521;-138.8208923340;
25.4097251892;-138.8208923340;
25.7039566040;-138.8208923340;
26.0015926361;-138.8208923340;
26.3026771545;-138.8208923340;
26.6072483063;-138.8208923340;
26.9153442383;-138.8208923340;
27.2270088196;-138.4011077881;
27.5422897339;-138.4011077881;
27.8612155914;-138.4011077881;
28.1838321686;-138.4011077881;
28.5101852417;-138.4011077881;
28.8403167725;-138.4011077881;
29.1742725372;-138.4011077881;
29.5120944977;-138.4011077881;
29.8538284302;-138.6743164062;
30.1995182037;-138.9757690430;
30.5492115021;-139.1528167725;
30.9029541016;-139.3075866699;
31.2607936859;-139.3075866699;
31.6227760315;-139.3075866699;
31.9889507294;-139.3075866699;
32.3593635559;-139.3075866699;
32.7340698242;-139.2983245850;
33.1131095886;-139.2983245850;
33.4965438843;-139.2983245850;
33.8844146729;-139.2983245850;
34.2767753601;-139.2434234619;
34.6736831665;-139.2434234619;
35.0751838684;-139.2434234619;
35.4813346863;-139.2434234619;
35.8921890259;-139.2434234619;
36.3078002930;-139.2434234619;
36.7282333374;-139.2434234619;
37.1535263062;-139.2434234619;
37.5837440491;-139.3866119385;
38.0189437866;-139.5302581787;
38.4591827393;-139.6631469727;
38.9045181274;-139.8011016846;
39.3550109863;-139.9437713623;
39.8107185364;-139.9437713623;
40.2717056274;-139.9437713623;
40.7380294800;-139.9437713623;
41.2097511292;-139.9437713623;
41.6869392395;-139.9437713623;
42.1696510315;-139.9437713623;
42.6579513550;-139.9437713623;
43.1519050598;-139.2639312744;
43.6515808105;-138.4178466797;
44.1570434570;-138.4178466797;
44.6683578491;-138.4178466797;
45.1855926514;-138.3919067383;
45.7088165283;-138.3196563721;
46.2380981445;-137.9318847656;
46.7735099792;-137.9318847656;
47.3151206970;-137.9318847656;
47.8630027771;-137.9318847656;
48.4172286987;-138.3196563721;
48.9778900146;-138.3919067383;
49.5450248718;-138.4742584229;
50.1187286377;-138.7093200684;
50.6990776062;-138.7681579590;
51.2861442566;-139.4124298096;
51.8800086975;-140.5094299316;
52.4807510376;-141.4856109619;
53.0884475708;-142.0767822266;
53.7031822205;-142.1239471436;
54.3250350952;-142.1581878662;
54.9540901184;-142.1760101318;
55.5904273987;-142.2844848633;
56.2341308594;-142.3943786621;
56.8852920532;-142.5007324219;
57.5439910889;-142.5293579102;
58.2103195190;-142.5394287109;
58.8843612671;-142.5587310791;
59.5662117004;-142.5587310791;
60.2559547424;-142.5587310791;
60.9536857605;-142.5972900391;
61.6594963074;-142.5972900391;
62.3734779358;-142.5972900391;
63.0957260132;-142.5972900391;
63.8263397217;-142.5972900391;
64.5654144287;-142.5972900391;
65.3130645752;-142.5587310791;
66.0693511963;-142.5394287109;
66.8343963623;-142.4351196289;
67.6083068848;-142.0277404785;
68.3911743164;-141.5912017822;
69.1831054688;-140.4810638428;
69.9842071533;-139.6944274902;
70.7945785522;-139.6944274902;
71.6143417358;-139.6944274902;
72.4435958862;-139.6944274902;
73.2824554443;-139.6944274902;
74.1310272217;-139.6600036621;
74.9894180298;-139.5798187256;
75.8577575684;-139.4249725342;
76.7361450195;-139.4150543213;
77.6247100830;-139.2388610840;
78.5235595703;-139.0991668701;
79.4328155518;-138.9723663330;
80.3526077271;-138.9723663330;
81.2830429077;-139.0722351074;
82.2242584229;-139.1120758057;
83.1763687134;-139.1120758057;
84.1395034790;-139.1120758057;
85.1137924194;-139.1120758057;
86.0993652344;-139.1120758057;
87.0963668823;-139.1120758057;
88.1048965454;-139.1120758057;
89.1251068115;-139.3673400879;
90.1571197510;-139.5004119873;
91.2010955811;-139.5976409912;
